"Plot Title: N5 NUEVO"
"#","Date Time, GMT-03:00","Abs Pres, kPa (LGR S/N: 20552280, SEN S/N: 20552280)","Temp, °C (LGR S/N: 20552280, SEN S/N: 20552280)","Coupler Detached (LGR S/N: 20552280)","Coupler Attached (LGR S/N: 20552280)","Stopped (LGR S/N: 20552280)","End Of File (LGR S/N: 20552280)"
1,03/16/23 03:01:59 PM,99.074,23.677,Logged,,,
2,03/16/23 04:01:59 PM,99.080,23.196,,,,
3,03/16/23 05:01:59 PM,99.111,23.196,,,,
4,03/16/23 06:01:59 PM,99.150,23.100,,,,
5,03/16/23 07:01:59 PM,99.222,23.100,,,,
6,03/16/23 08:01:59 PM,99.243,23.100,,,,
7,03/16/23 09:01:59 PM,99.284,23.100,,,,
8,03/16/23 10:01:59 PM,99.253,23.100,,,,
9,03/16/23 11:01:59 PM,99.253,23.100,,,,
10,03/17/23 12:01:59 AM,99.232,23.100,,,,
11,03/17/23 01:01:59 AM,99.243,23.100,,,,
12,03/17/23 02:01:59 AM,99.274,23.100,,,,
13,03/17/23 03:01:59 AM,99.243,23.100,,,,
14,03/17/23 04:01:59 AM,99.253,23.100,,,,
15,03/17/23 05:01:59 AM,99.235,23.196,,,,
16,03/17/23 06:01:59 AM,99.264,23.100,,,,
17,03/17/23 07:01:59 AM,99.318,23.196,,,,
18,03/17/23 08:01:59 AM,99.370,23.196,,,,
19,03/17/23 09:01:59 AM,99.412,23.196,,,,
20,03/17/23 10:01:59 AM,99.495,23.196,,,,
21,03/17/23 11:01:59 AM,99.495,23.196,,,,
22,03/17/23 12:01:59 PM,99.484,23.196,,,,
23,03/17/23 01:01:59 PM,99.391,23.196,,,,
24,03/17/23 02:01:59 PM,99.235,23.196,,,,
25,03/17/23 03:01:59 PM,99.370,23.196,,,,
26,03/17/23 04:01:59 PM,99.370,23.196,,,,
27,03/17/23 05:01:59 PM,99.401,23.196,,,,
28,03/17/23 06:01:59 PM,99.401,23.196,,,,
29,03/17/23 07:01:59 PM,99.453,23.196,,,,
30,03/17/23 08:01:59 PM,99.350,23.196,,,,
31,03/17/23 09:01:59 PM,99.464,23.196,,,,
32,03/17/23 10:01:59 PM,99.474,23.196,,,,
33,03/17/23 11:01:59 PM,99.484,23.196,,,,
34,03/18/23 12:01:59 AM,99.505,23.196,,,,
35,03/18/23 01:01:59 AM,99.495,23.196,,,,
36,03/18/23 02:01:59 AM,99.474,23.196,,,,
37,03/18/23 03:01:59 AM,99.433,23.196,,,,
38,03/18/23 04:01:59 AM,99.422,23.196,,,,
39,03/18/23 05:01:59 AM,99.433,23.196,,,,
40,03/18/23 06:01:59 AM,99.464,23.196,,,,
41,03/18/23 07:01:59 AM,99.474,23.196,,,,
42,03/18/23 08:01:59 AM,99.557,23.196,,,,
43,03/18/23 09:01:59 AM,99.619,23.196,,,,
44,03/18/23 10:01:59 AM,99.630,23.196,,,,
45,03/18/23 11:01:59 AM,99.609,23.196,,,,
46,03/18/23 12:01:59 PM,99.547,23.196,,,,
47,03/18/23 01:01:59 PM,99.505,23.196,,,,
48,03/18/23 02:01:59 PM,99.443,23.196,,,,
49,03/18/23 03:01:59 PM,99.370,23.196,,,,
50,03/18/23 04:01:59 PM,99.298,23.196,,,,
51,03/18/23 05:01:59 PM,99.267,23.196,,,,
52,03/18/23 06:01:59 PM,99.256,23.196,,,,
53,03/18/23 07:01:59 PM,99.308,23.196,,,,
54,03/18/23 08:01:59 PM,99.381,23.196,,,,
55,03/18/23 09:01:59 PM,99.412,23.196,,,,
56,03/18/23 10:01:59 PM,99.474,23.196,,,,
57,03/18/23 11:01:59 PM,99.484,23.196,,,,
58,03/19/23 12:01:59 AM,99.464,23.196,,,,
59,03/19/23 01:01:59 AM,99.412,23.196,,,,
60,03/19/23 02:01:59 AM,99.318,23.196,,,,
61,03/19/23 03:01:59 AM,99.267,23.196,,,,
62,03/19/23 04:01:59 AM,99.256,23.196,,,,
63,03/19/23 05:01:59 AM,99.225,23.196,,,,
64,03/19/23 06:01:59 AM,99.256,23.196,,,,
65,03/19/23 07:01:59 AM,99.350,23.196,,,,
66,03/19/23 08:01:59 AM,99.370,23.196,,,,
67,03/19/23 09:01:59 AM,99.381,23.196,,,,
68,03/19/23 10:01:59 AM,99.339,23.196,,,,
69,03/19/23 11:01:59 AM,99.339,23.196,,,,
70,03/19/23 12:01:59 PM,99.350,23.196,,,,
71,03/19/23 01:01:59 PM,99.298,23.196,,,,
72,03/19/23 02:01:59 PM,99.204,23.196,,,,
73,03/19/23 03:01:59 PM,99.142,23.196,,,,
74,03/19/23 04:01:59 PM,99.059,23.196,,,,
75,03/19/23 05:01:59 PM,98.997,23.196,,,,
76,03/19/23 06:01:59 PM,99.031,23.292,,,,
77,03/19/23 07:01:59 PM,99.059,23.196,,,,
78,03/19/23 08:01:59 PM,99.114,23.292,,,,
79,03/19/23 09:01:59 PM,99.145,23.292,,,,
80,03/19/23 10:01:59 PM,99.145,23.292,,,,
81,03/19/23 11:01:59 PM,99.155,23.292,,,,
82,03/20/23 12:01:59 AM,99.124,23.292,,,,
83,03/20/23 01:01:59 AM,99.135,23.292,,,,
84,03/20/23 02:01:59 AM,99.166,23.292,,,,
85,03/20/23 03:01:59 AM,99.166,23.292,,,,
86,03/20/23 04:01:59 AM,99.135,23.292,,,,
87,03/20/23 05:01:59 AM,99.135,23.292,,,,
88,03/20/23 06:01:59 AM,99.135,23.292,,,,
89,03/20/23 07:01:59 AM,99.176,23.292,,,,
90,03/20/23 08:01:59 AM,99.238,23.292,,,,
91,03/20/23 09:01:59 AM,99.280,23.292,,,,
92,03/20/23 10:01:59 AM,99.311,23.292,,,,
93,03/20/23 11:01:59 AM,99.363,23.292,,,,
94,03/20/23 12:01:59 PM,99.508,23.292,,,,
95,03/20/23 01:01:59 PM,99.435,23.292,,,,
96,03/20/23 02:01:59 PM,99.352,23.292,,,,
97,03/20/23 03:01:59 PM,99.301,23.292,,,,
98,03/20/23 04:01:59 PM,99.249,23.292,,,,
99,03/20/23 05:01:59 PM,99.238,23.292,,,,
100,03/20/23 06:01:59 PM,99.301,23.292,,,,
101,03/20/23 07:01:59 PM,99.425,23.292,,,,
102,03/20/23 08:01:59 PM,99.404,23.292,,,,
103,03/20/23 09:01:59 PM,99.788,23.292,,,,
104,03/20/23 10:01:59 PM,99.570,23.292,,,,
105,03/20/23 11:01:59 PM,99.622,23.292,,,,
106,03/21/23 12:01:59 AM,99.622,23.292,,,,
107,03/21/23 01:01:59 AM,99.653,23.292,,,,
108,03/21/23 02:01:59 AM,99.633,23.292,,,,
109,03/21/23 03:01:59 AM,99.622,23.292,,,,
110,03/21/23 04:01:59 AM,99.581,23.292,,,,
111,03/21/23 05:01:59 AM,99.591,23.292,,,,
112,03/21/23 06:01:59 AM,99.716,23.292,,,,
113,03/21/23 07:01:59 AM,99.684,23.292,,,,
114,03/21/23 08:01:59 AM,99.809,23.292,,,,
115,03/21/23 09:01:59 AM,99.850,23.292,,,,
116,03/21/23 10:01:59 AM,99.882,23.292,,,,
117,03/21/23 11:01:59 AM,99.923,23.292,,,,
118,03/21/23 12:01:59 PM,99.954,23.292,,,,
119,03/21/23 01:01:59 PM,99.830,23.292,,,,
120,03/21/23 02:01:59 PM,99.799,23.292,,,,
121,03/21/23 03:01:59 PM,99.716,23.292,,,,
122,03/21/23 04:01:59 PM,99.695,23.292,,,,
123,03/21/23 05:01:59 PM,99.674,23.292,,,,
124,03/21/23 06:01:59 PM,99.716,23.292,,,,
125,03/21/23 07:01:59 PM,99.726,23.292,,,,
126,03/21/23 08:01:59 PM,99.716,23.292,,,,
127,03/21/23 09:01:59 PM,99.757,23.292,,,,
128,03/21/23 10:01:59 PM,99.840,23.292,,,,
129,03/21/23 11:01:59 PM,99.778,23.292,,,,
130,03/22/23 12:01:59 AM,99.830,23.292,,,,
131,03/22/23 01:01:59 AM,99.871,23.292,,,,
132,03/22/23 02:01:59 AM,99.892,23.292,,,,
133,03/22/23 03:01:59 AM,99.861,23.292,,,,
134,03/22/23 04:01:59 AM,99.840,23.292,,,,
135,03/22/23 05:01:59 AM,99.816,23.196,,,,
136,03/22/23 06:01:59 AM,99.858,23.196,,,,
137,03/22/23 07:01:59 AM,99.879,23.196,,,,
138,03/22/23 08:01:59 AM,99.965,23.292,,,,
139,03/22/23 09:01:59 AM,100.016,23.292,,,,
140,03/22/23 10:01:59 AM,100.016,23.292,,,,
141,03/22/23 11:01:59 AM,100.016,23.292,,,,
142,03/22/23 12:01:59 PM,99.944,23.292,,,,
143,03/22/23 01:01:59 PM,99.944,23.292,,,,
144,03/22/23 02:01:59 PM,99.933,23.292,,,,
145,03/22/23 03:01:59 PM,99.902,23.292,,,,
146,03/22/23 04:01:59 PM,99.819,23.292,,,,
147,03/22/23 05:01:59 PM,99.778,23.292,,,,
148,03/22/23 06:01:59 PM,99.747,23.292,,,,
149,03/22/23 07:01:59 PM,99.736,23.292,,,,
150,03/22/23 08:01:59 PM,99.747,23.292,,,,
151,03/22/23 09:01:59 PM,99.809,23.292,,,,
152,03/22/23 10:01:59 PM,99.799,23.292,,,,
153,03/22/23 11:01:59 PM,99.674,23.292,,,,
154,03/23/23 12:01:59 AM,99.705,23.292,,,,
155,03/23/23 01:01:59 AM,99.757,23.292,,,,
156,03/23/23 02:01:59 AM,99.716,23.292,,,,
157,03/23/23 03:01:59 AM,99.653,23.292,,,,
158,03/23/23 04:01:59 AM,99.601,23.292,,,,
159,03/23/23 05:01:59 AM,99.581,23.292,,,,
160,03/23/23 06:01:59 AM,99.643,23.292,,,,
161,03/23/23 07:01:59 AM,99.612,23.292,,,,
162,03/23/23 08:01:59 AM,99.653,23.292,,,,
163,03/23/23 09:01:59 AM,99.684,23.292,,,,
164,03/23/23 10:01:59 AM,99.674,23.292,,,,
165,03/23/23 11:01:59 AM,99.695,23.292,,,,
166,03/23/23 12:01:59 PM,99.695,23.292,,,,
167,03/23/23 01:01:59 PM,99.674,23.292,,,,
168,03/23/23 02:01:59 PM,99.684,23.292,,,,
169,03/23/23 03:01:59 PM,99.591,23.292,,,,
170,03/23/23 04:01:59 PM,99.518,23.292,,,,
171,03/23/23 05:01:59 PM,99.498,23.292,,,,
172,03/23/23 06:01:59 PM,99.498,23.292,,,,
173,03/23/23 07:01:59 PM,99.487,23.292,,,,
174,03/23/23 08:01:59 PM,99.508,23.292,,,,
175,03/23/23 09:01:59 PM,99.581,23.292,,,,
176,03/23/23 10:01:59 PM,99.684,23.292,,,,
177,03/23/23 11:01:59 PM,99.695,23.292,,,,
178,03/24/23 12:01:59 AM,99.726,23.292,,,,
179,03/24/23 01:01:59 AM,99.705,23.292,,,,
180,03/24/23 02:01:59 AM,99.674,23.292,,,,
181,03/24/23 03:01:59 AM,99.633,23.292,,,,
182,03/24/23 04:01:59 AM,99.612,23.292,,,,
183,03/24/23 05:01:59 AM,99.612,23.292,,,,
184,03/24/23 06:01:59 AM,99.653,23.292,,,,
185,03/24/23 07:01:59 AM,99.653,23.292,,,,
186,03/24/23 08:01:59 AM,99.705,23.292,,,,
187,03/24/23 09:01:59 AM,99.747,23.292,,,,
188,03/24/23 10:01:59 AM,99.799,23.292,,,,
